,date_local,arithmetic_mean_gaseous,first_max_value_gaseous,first_max_hour_gaseous,aqi_gaseous,arithmetic_mean_particle,first_max_value_particle,first_max_hour_particle,aqi_particle,AQI,date_year
115,1992-01-01,,,,,13.0,13.0,0.0,12.0,12.0,1992
116,1992-01-07,,,,,15.0,15.0,0.0,14.0,14.0,1992
117,1992-01-13,,,,,34.0,34.0,0.0,31.0,31.0,1992
118,1992-01-19,,,,,71.0,71.0,0.0,59.0,59.0,1992
119,1992-01-25,,,,,17.0,17.0,0.0,16.0,16.0,1992
120,1992-01-31,,,,,17.0,17.0,0.0,16.0,16.0,1992
121,1992-02-06,,,,,19.0,19.0,0.0,18.0,18.0,1992
122,1992-02-12,,,,,10.0,10.0,0.0,9.0,9.0,1992
123,1992-02-18,,,,,15.0,15.0,0.0,14.0,14.0,1992
124,1992-02-24,,,,,16.0,16.0,0.0,15.0,15.0,1992
125,1992-03-01,,,,,16.0,16.0,0.0,15.0,15.0,1992
126,1992-03-07,,,,,12.0,12.0,0.0,11.0,11.0,1992
127,1992-03-13,,,,,16.0,16.0,0.0,15.0,15.0,1992
128,1992-03-19,,,,,41.0,41.0,0.0,38.0,38.0,1992
129,1992-03-25,,,,,13.0,13.0,0.0,12.0,12.0,1992
130,1992-03-31,,,,,81.0,81.0,0.0,64.0,64.0,1992
131,1992-04-06,,,,,22.0,22.0,0.0,20.0,20.0,1992
132,1992-04-12,,,,,19.0,19.0,0.0,18.0,18.0,1992
133,1992-04-18,,,,,62.0,62.0,0.0,54.0,54.0,1992
134,1992-04-24,,,,,52.0,52.0,0.0,48.0,48.0,1992
135,1992-04-30,,,,,27.0,27.0,0.0,25.0,25.0,1992
136,1992-05-06,,,,,11.0,11.0,0.0,10.0,10.0,1992
137,1992-05-12,,,,,19.0,19.0,0.0,18.0,18.0,1992
138,1992-05-18,,,,,26.0,26.0,0.0,24.0,24.0,1992
139,1992-05-24,,,,,10.0,10.0,0.0,9.0,9.0,1992
140,1992-05-30,,,,,14.0,14.0,0.0,13.0,13.0,1992
141,1992-06-05,,,,,18.0,18.0,0.0,17.0,17.0,1992
142,1992-06-11,,,,,24.0,24.0,0.0,22.0,22.0,1992
143,1992-06-17,,,,,13.0,13.0,0.0,12.0,12.0,1992
144,1992-06-23,,,,,30.0,30.0,0.0,28.0,28.0,1992
145,1992-06-29,,,,,30.0,30.0,0.0,28.0,28.0,1992
146,1992-07-05,,,,,17.0,17.0,0.0,16.0,16.0,1992
147,1992-07-11,,,,,11.0,11.0,0.0,10.0,10.0,1992
148,1992-07-17,,,,,15.0,15.0,0.0,14.0,14.0,1992
149,1992-07-23,,,,,22.0,22.0,0.0,20.0,20.0,1992
